001.wav|0|あなたに会いに来たの、岡部凛太郎さん じゃなくて、鳳凰院凶真さんだった?
002.wav|0|そうです、私が死んだのを見たっていうのが事実なのか、単なるセクハラの言い訳なのか、それについての回答が欲しくて
003.wav|0|でも、今のあなたの振る舞いで理解した、どうやら単なるセクハラだったみたい。つまり、私の予測が証明されたというこ
004.wav|0|そういえば、まともに自己紹介してませんでしたね。マキセ・クリスです、改めまして、よろしく
005.wav|0|研究所のメンバーに迎えてくれるっていうこと? でも私、8月中にアメリカに帰る予定なんですけど
006.wav|0|知識を提供するだけならOKです。ただし、他に変態的なオプション契約があるなら、答えはNOよ
007.wav|0|さっきあなた、まず一つって言いましたよね。 二つ目があるんでしょ? それが変態的要求の可能性が
008.wav|0|まったく、ノルアドレナリンが過剰分泌されてる気分よ、開いた口が塞がらないわ
009.wav|0|少なくとも、電磁波兵器やテレポートだっていう、く、だ、ら、な、い 仮説は捨てるべきですね
010.wav|0|だったら食塩については一粒一粒を基準とした場合 、小さすぎるからダメとか?
011.wav|0|うん、唐揚げのことはどうでもいい 今は電話レンジに何が起きたのか解析するのが先
012.wav|0|信じられないと思わない? 人工衛星って普通大気圏で燃え尽きるように 軌道を計算して落とされるのに 、あそこまで完全な形で残ってるなんて
013.wav|0|まだわかってないって。 旧ソ連のものかもって噂だけど、 ロシアは否定してる。 おかげで撤去しようにもできないらしい
014.wav|0|別に確信があって言ったわけじゃない。単に信じたくなかっただけってロジックよ。とんでも科学は小説や映画の中だけで十分だわ
015.wav|0|見たけど、何かの間違いのはず。あるいは私たちが都合のいい解釈をしてるだけ
016.wav|0|ましてや、あんたたちみたいなお遊びサークルが電話と電子レンジをくっつけただけのガラクタでタイムトラベルを起こせるわけがない
017.wav|0|間違いかもしれないからやらないの? だったらあんたは一生あの小汚いビルに引きこもって王様を気取っていなさい
018.wav|0|物理学者の父は、タイムマシンが大好きだった。ウェールズのタイムマシンに魅了されて本気で研究していたわ
019.wav|0|メールの送受信は、人の手で作られたシステムなんだから。そのシステムの範囲内で現象を説明できるはず
020.wav|0|この前は聞けなかったけど、 私が刺されたってあんた言ってたわよね 。それについての説明を要請さ
021.wav|0|分からないな。なんで私が幻でとはいえ、 殺されなくちゃいけないのよ。恨みでもあるの?
022.wav|0|もういいわ。 今後そんな幻見ないで。 他人の夢の中とはいえ、 自分が殺されてると思ったらいい気分はしない
023.wav|0|あんた、少しは落ち着いたら? いつもいつもふざけたことばかりって。とても私より年上には見えない
024.wav|0|私が言ったのは、親子で仲が良くて羨ましいなってこと? それ以上の意味はないから
025.wav|0|だったらどうやって持って帰るの? ここからあんたのボロラボまで、歩くと10分くらいかかるわよ
026.wav|0|私はもともと知識を貸すってことで、ラボメンにさせられたのよ よってこの場合、次の回を導ける。力仕事は無理
027.wav|0|あんたね！前に進まないでよ！私が後ろ歩きしなくちゃいけないでしょう？ 横に動きなさい
028.wav|0|期待してくれてどうもでも無理！横歩きに変更求め つーかしろ！へこしろ！ 転んじゃうから！
029.wav|0|ごめん言い直す。 あんたって本当にベータエンドルフィン過剰分泌によるジャンキーね
030.wav|0|はぁはぁ 。なんで 私がこんな
031.wav|0|私はクリスティーナじゃないし、気になるってほどでもない。 教える気がないなら別にどうでもいいわ
032.wav|0|確かに私はあんたより年下だけど、人のことクリスティーナだとか、ゾンビだとか呼ぶ相手がいるとき、そいつには敬意を表さないとするのが私の考えなんだから
033.wav|0|泣いてないわよバカ！男の人に怖い顔で迫られて恐怖を感じちゃったりなんかしてないし、その後のあんたのバカ台詞にほっとして涙が出ちゃったわけでもないからな
034.wav|0|あんたの言うことが本当だと証明されるのなら、 驚きかも。あのセルンがタイムトラベル理論を
035.wav|0|セルンは世界最高の研究機関なのよ。そこが実験結果を公表せずに極秘で実験してるなんて
036.wav|0|そのゲル化せずに冷凍状態へ戻ったっていうロジックも怪しい。 冷凍されていただけでゲル化そのものは起きていた可能性については検証した?
037.wav|0|塩はもともと単純構造だから影響を受けないのかな？電気とどんな関係が?
038.wav|0|そもそも、この小さな電子レンジの中で、ビッグバンに匹敵するエネルギーが発生していると定義するのは無理がある
039.wav|0|放電現象の再現、それにフラクタル構造化の再現 、どちらもできなくなってしまった理由があるは
